;;;;;;Procurement Monthly Report;;;;;;;;;;;;;;;;;
Parameters;;;;;;;;;;;;;;;;;;;;;;;
Approved PR From Date;;;;;01/01/2024;;Approved PR to Date;;;31/01/2024;;;;;;;;;;;;;
Approved PO From Date;;;;;01/01/2024;;Approved PO to Date;;;31/01/2024;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
PR TYPE;;;General;;Technical;;Total PR (PO);;;;;;;;;;;;;;;;
;;;57;;111;;168;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Urgent Type;;;AOG;;Urgent;;Normal;None;;;;;;;;;;;;;;;
;;;31;;63;;28;46;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
PO Types;;;Single Source;;Competitive;;Sole Source;Direct Purchase;;;;;;;;;;;;;;;
;;;4;;30;;34;100;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Variation PO;;;PO Number;;Percentage of Total PO %;;Total Diff (SAR);;;;;;;;;;;;;;;;
;;;158;;59%;;-30,877,009.68;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Purchase Requisition No.;;;Purchase Order No.;;Department;;PR Amount (SAR);PO Amount (SAR);Diff Amount (SAR);PO Variation %;Savings;PO Status;Approved PO Date;Approved PR Date;Days;PR Type;PO Types;PO Discerption;Vendor name;Payments terms;;;
;;;;;;;;;;;(SAR;;;;;;;;;;;;
PR-240100;;;PO-240095;;?Operation?;;22,875.61;23,408.74;-16,635.61;-73%;;?Closed?;23/01/2024;01/09/2024;14;Technical;Direct Purchase ;Request tools below  to distribute on different bases needed for upcoming schedule maintenance.;CAMBER AEROPARTS FZE ;Net 30;;;
PR-240064;;;PO-240096;;?Operation?;;693.77;937.85;-443.77;-64%;;?Closed?;15/01/2024;01/09/2024;6;Technical;Direct Purchase ;Request tools below by Fahad AL Suliman needed for upcoming schedule maintenance.;Aviation overseas supply logistics pvt ltd ;Net 30;;;
PR-240064;;;PO-240097;;?Operation?;;22,463.10;22,733.48;-16,403.10;-73%;;?Closed?;14/01/2024;01/09/2024;5;Technical;Direct Purchase ;Request tools below by Fahad AL Suliman needed for upcoming schedule maintenance.;CAMBER AEROPARTS FZE ;Net 30;;;
PR-240006;;;PO-240098;;?Operation?;;4,326.75;4,398.60;-3,265.56;-75%;;?Closed For Receiving?;01/10/2024;01/07/2024;3;Technical;Direct Purchase ;Normal / Stock for min/max for fleet AW139;Leonardo S.P.A ;Net 30;;;
PR-240060;;;PO-240100;;?Operation?;;0;0;0;0%;;?Closed For Receiving?;01/11/2024;01/10/2024;1;Technical;Direct Purchase ;PR Priority: AOGModel of aircraft: H145/TSN: 36:25 A/CRegistration number: BK117 D-3 / HZ-HC74/MSN:21232Reason: Aircraft multi-Purpose Camera not showed in MFD4Description of requirement: WARRANTY (TE-2023-BK117-07566);Airbus Helicopters Arabia ;Net 30;;;
PR-240067;;;PO-240102;;?Operation?;;31,600.03;25,714.13;-25,396.34;-80%;;?Open?;16/01/2024;01/07/2024;9;Technical;Sole Source ;NEW CATALOGED from request of 2024 AW139 Spares Planning & Efficiency Check - Expendables & Consumables + 48M Part 1.;Leonardo S.P.A ;Net 30;;;
PR-240068;;;PO-240104;;?Operation?;;79,742.58;82,627.03;-59,808.31;-75%;;?Closed For Receiving?;16/01/2024;01/07/2024;9;Technical;Sole Source ;NEW CATALOG from request of 2024 AW139 Spares Planning & Efficiency Check - Expendables & Consumables + 48M Part 2.;Leonardo S.P.A ;Net 30;;;
PR-240025;;;PO-240106;;?Operation?;;3,845.55;4,036.42;-2,871.74;-75%;;?Closed For Receiving?;01/11/2024;01/07/2024;4;Technical;Direct Purchase ;NORMAL / STOCK FOR MIN/MAX FOR FLEET AW139;Leonardo S.P.A ;Net 30;;;
PR-240112;;;PO-240107;;?Marketing?;;60,132.58;60,132.58;-47,863.58;-80%;;?Closed?;01/11/2024;01/10/2024;1;General;Competitive ;HAI Heli Expo 2024 - Coverage and Production;QP Agency ;Immediate;;;
PR-240036;;;PO-240110;;?Operation?;;230,000.00;230,000.00;0;0%;;?Closed?;30/01/2024;01/10/2024;20;General;Competitive ;Maintenance Uniforms;LEBAS ;50% Advance;;;
